goos: darwin
goarch: amd64
pkg: github.com/corestoreio/errors
BenchmarkAssertBehaviourEmptyStruct-4   	50000000	        22.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourEmptyStruct-4   	100000000	        23.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourEmptyStruct-4   	100000000	        23.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourEmptyStruct-4   	50000000	        22.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourEmptyStruct-4   	50000000	        22.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourEmptyStruct-4   	100000000	        22.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourEmptyStruct-4   	50000000	        23.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourEmptyStruct-4   	100000000	        22.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourEmptyStruct-4   	100000000	        22.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourEmptyStruct-4   	50000000	        22.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourConstant-4      	50000000	        25.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourConstant-4      	50000000	        25.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourConstant-4      	50000000	        25.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourConstant-4      	50000000	        25.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourConstant-4      	50000000	        25.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourConstant-4      	50000000	        25.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourConstant-4      	50000000	        25.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourConstant-4      	50000000	        25.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourConstant-4      	50000000	        25.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourConstant-4      	50000000	        25.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourPointer-4       	100000000	        13.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourPointer-4       	100000000	        14.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourPointer-4       	100000000	        15.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourPointer-4       	100000000	        14.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourPointer-4       	100000000	        13.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourPointer-4       	100000000	        13.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourPointer-4       	100000000	        13.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourPointer-4       	100000000	        13.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourPointer-4       	100000000	        14.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourPointer-4       	100000000	        14.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourNoMatch-4       	20000000	       107 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourNoMatch-4       	20000000	       107 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourNoMatch-4       	20000000	       106 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourNoMatch-4       	20000000	       106 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourNoMatch-4       	20000000	       107 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourNoMatch-4       	20000000	       107 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourNoMatch-4       	20000000	       107 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourNoMatch-4       	20000000	       106 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourNoMatch-4       	20000000	       107 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssertBehaviourNoMatch-4       	20000000	       107 ns/op	       0 B/op	       0 allocs/op
BenchmarkMultiErr-4                     	 2000000	       901 ns/op	     140 B/op	       5 allocs/op
BenchmarkMultiErr-4                     	 2000000	       881 ns/op	     140 B/op	       5 allocs/op
BenchmarkMultiErr-4                     	 2000000	       901 ns/op	     140 B/op	       5 allocs/op
BenchmarkMultiErr-4                     	 2000000	       889 ns/op	     140 B/op	       5 allocs/op
BenchmarkMultiErr-4                     	 2000000	       910 ns/op	     140 B/op	       5 allocs/op
BenchmarkMultiErr-4                     	 2000000	       893 ns/op	     140 B/op	       5 allocs/op
BenchmarkMultiErr-4                     	 2000000	       914 ns/op	     140 B/op	       5 allocs/op
BenchmarkMultiErr-4                     	 2000000	       895 ns/op	     140 B/op	       5 allocs/op
BenchmarkMultiErr-4                     	 2000000	       910 ns/op	     140 B/op	       5 allocs/op
BenchmarkMultiErr-4                     	 2000000	       918 ns/op	     140 B/op	       5 allocs/op
BenchmarkMultiErrPointer-4              	 2000000	       714 ns/op	     224 B/op	       4 allocs/op
BenchmarkMultiErrPointer-4              	 2000000	       702 ns/op	     224 B/op	       4 allocs/op
BenchmarkMultiErrPointer-4              	 2000000	       705 ns/op	     224 B/op	       4 allocs/op
BenchmarkMultiErrPointer-4              	 2000000	       705 ns/op	     224 B/op	       4 allocs/op
BenchmarkMultiErrPointer-4              	 2000000	       715 ns/op	     224 B/op	       4 allocs/op
BenchmarkMultiErrPointer-4              	 2000000	       699 ns/op	     224 B/op	       4 allocs/op
BenchmarkMultiErrPointer-4              	 2000000	       715 ns/op	     224 B/op	       4 allocs/op
BenchmarkMultiErrPointer-4              	 2000000	       709 ns/op	     224 B/op	       4 allocs/op
BenchmarkMultiErrPointer-4              	 2000000	       711 ns/op	     224 B/op	       4 allocs/op
BenchmarkMultiErrPointer-4              	 2000000	       698 ns/op	     224 B/op	       4 allocs/op
BenchmarkMultiErrConstant-4             	 2000000	       706 ns/op	     224 B/op	       4 allocs/op
BenchmarkMultiErrConstant-4             	 2000000	       715 ns/op	     224 B/op	       4 allocs/op
BenchmarkMultiErrConstant-4             	 2000000	       699 ns/op	     224 B/op	       4 allocs/op
BenchmarkMultiErrConstant-4             	 2000000	       713 ns/op	     224 B/op	       4 allocs/op
BenchmarkMultiErrConstant-4             	 2000000	       713 ns/op	     224 B/op	       4 allocs/op
BenchmarkMultiErrConstant-4             	 2000000	       702 ns/op	     224 B/op	       4 allocs/op
BenchmarkMultiErrConstant-4             	 2000000	       710 ns/op	     224 B/op	       4 allocs/op
BenchmarkMultiErrConstant-4             	 2000000	       726 ns/op	     224 B/op	       4 allocs/op
BenchmarkMultiErrConstant-4             	 2000000	       708 ns/op	     224 B/op	       4 allocs/op
BenchmarkMultiErrConstant-4             	 2000000	       721 ns/op	     224 B/op	       4 allocs/op
BenchmarkErrors/pkg/errors-stack-10-4   	 1000000	      1460 ns/op	     320 B/op	       3 allocs/op
BenchmarkErrors/pkg/errors-stack-10-4   	 1000000	      1430 ns/op	     320 B/op	       3 allocs/op
BenchmarkErrors/pkg/errors-stack-10-4   	 1000000	      1412 ns/op	     320 B/op	       3 allocs/op
BenchmarkErrors/pkg/errors-stack-10-4   	 1000000	      1402 ns/op	     320 B/op	       3 allocs/op
BenchmarkErrors/pkg/errors-stack-10-4   	 1000000	      1423 ns/op	     320 B/op	       3 allocs/op
BenchmarkErrors/pkg/errors-stack-10-4   	 1000000	      1405 ns/op	     320 B/op	       3 allocs/op
BenchmarkErrors/pkg/errors-stack-10-4   	 1000000	      1426 ns/op	     320 B/op	       3 allocs/op
